Ind,Ops,Dinero,Rent,Benef,BenefXOps,SalidaLost,SalidaWin
SAB,18,3000,0.320936674718,962.810024155,53.4894457864,4,2
COL,7,3000,0.360681830356,1082.04549107,154.577927295,0,0
ECR,7,3000,0.0749260808926,224.778242678,32.1111775254,4,2
IAG,15,3000,0.644835749163,1934.50724749,128.967149833,2,5
NEA,3,3000,0.130607142857,391.821428571,130.607142857,1,1
APAM,18,3000,0.145131201068,435.393603205,24.1885335114,9,6
MRL,16,3000,0.74624984831,2238.74954493,139.921846558,1,1
ACX,16,3000,0.131892645546,395.677936638,24.7298710399,6,2
AENA,3,3000,0.139998215057,419.99464517,139.998215057,0,1
BKT,6,3000,0.270952014092,812.856042277,135.476007046,0,0
APAM,18,3000,0.145131201068,435.393603205,24.1885335114,9,6
TUB,14,3000,0.212328524846,636.985574538,45.4989696099,7,4
