Ind,Ops,Dinero,Rent,Benef
ABG,51,3000,-2.35284379448,-7058.53138345,-68.5294309073
ABE,56,3000,-0.0174915983802,-52.4747951405,-0.468524956612
ANA,52,3000,0.13365666329,400.96998987,3.85548067183
ACX,57,3000,0.113506415892,340.519247676,2.98701094452
ACS,54,3000,0.0283489263639,85.0467790916,0.787470176774
ADZ,57,3000,-0.472560369513,-1417.68110854,-12.4357991977
ADV,50,3000,-0.789941822649,-2369.82546795,-23.6982546795
AENA,29,3000,0.24498731141,734.96193423,12.4569819361
AIR,54,3000,0.376337981963,1129.01394589,10.3579261091
ALNT,58,3000,0.496758818118,1490.27645436,12.8472108134
ALM,48,3000,0.256133724879,768.401174636,8.00417890246
AMS,51,3000,0.209230375913,627.691127738,6.09408861882
AMP,64,3000,-0.172616014399,-517.848043197,-4.01432591626
APAM,58,3000,0.664404736751,1993.21421025,17.1828811229
APPS,37,3000,-0.393033985561,-1179.10195668,-15.7213594224
A3M,50,3000,0.128341558578,385.024675735,3.81212550233
CAF,57,3000,0.271806800943,815.420402828,7.09061219851
AXIA,35,3000,0.414777039156,1244.33111747,17.5257903869
AZK,44,3000,-0.396064615383,-1188.19384615,-13.5022027971
SAB,53,3000,0.246473931263,739.421793788,6.91048405409
SAN,56,3000,-0.253938339463,-761.815018389,-6.74172582645
BKIA,50,3000,77.2005680233,231601.70407,2293.08617891
BKT,58,3000,0.189468485219,568.405455658,4.85816628768
BDL,62,3000,0.0914449778864,274.334933659,2.19467946927
CBAV,60,3000,-0.199434565572,-598.303696717,-4.94465865055
BBVA,52,3000,0.0900047937934,270.01438138,2.57156553695
BIO,56,3000,0.360398791806,1081.19637542,9.65353906623
RIO,67,3000,0.351817221655,1055.45166496,7.81816048121
BAIN,7,3000,0.349188076927,1047.56423078,69.8376153854
CABK,51,3000,-0.0538846694424,-161.654008327,-1.56945639153
CASH,4,3000,0.00686166459972,20.5849937992,2.57312422489
CLNX,25,3000,-0.0166678099716,-50.0034299147,-0.980459410093
CIE,61,3000,0.553629008025,1660.88702407,13.5031465372
CDR,56,3000,-1.2970609065,-3891.1827195,-34.4352453053
MDF,59,3000,-0.372285790829,-1116.85737249,-9.38535607133
OLE,54,3000,-0.560105906564,-1680.31771969,-15.4157588962
DIA,55,3000,0.187747146917,563.241440752,5.07424721398
EBRO,54,3000,0.273080609015,819.241827044,7.51598006462
EDR,33,3000,0.0403849107651,121.154732295,1.8082795865
ENO,57,3000,-0.210962165014,-632.886495042,-5.55163592142
ENG,55,3000,0.147879094209,443.637282626,3.99673227591
ENC,47,3000,-0.0556167385141,-166.850215542,-1.775002293
ELE,51,3000,0.539334903006,1618.00470902,15.7087835827
ECR,59,3000,0.0925695909372,277.708772812,2.33368716648
EKT,21,3000,-0.245483696755,-736.451090264,-17.126769541
EZE,55,3000,1.97457006874,5923.71020621,53.8519109655
FAE,54,3000,0.279763584503,839.290753508,7.77121068063
FCC,57,3000,0.0942103651181,282.631095354,2.45766169873
FER,53,3000,0.409586259313,1228.75877794,11.5920639428
