Ind,Ops,Dinero,Rent,Benef,BenefXOps,SalidaLost,SalidaWin,SalidaBB
ACX,5,3000,0.37325781721,1119.77345163,223.954690326,0,3,0
ACS,7,3000,0.411563564105,1234.69069232,176.384384617,0,4,0
A3M,13,3000,0.659035086358,1977.10525907,152.085019929,0,9,0
SAB,12,3000,0.298114802177,894.344406531,74.5287005443,4,5,0
SAN,10,3000,0.423534643846,1270.60393154,127.060393154,0,7,0
BAIN,4,3000,0.235920766192,707.762298576,176.940574644,0,1,0
FCC,1,3000,0.00626596367897,18.7978910369,18.7978910369,0,1,0
GCO,7,3000,0.151824403585,455.473210756,65.0676015366,0,0,0
IAG,16,3000,1.17673701968,3530.21105903,220.638191189,4,11,0
CAF,14,3000,0.337466788958,1012.40036687,72.3143119196,0,0,0
TLGO,5,3000,0.494503703378,1483.51111013,296.702222027,1,4,0
TUB,6,3000,0.614325970081,1842.97791024,307.16298504,0,5,0
ENC,12,3000,0.680954276874,2042.86283062,170.238569219,2,7,0
