Ind,Ops,Dinero,Rent,Benef,BenefXOps,SalidaLost,SalidaWin
A3M,4,3000,0.118666666667,356.0,89.0,0,4
ABG,38,3000,0.812333333333,2437.0,64.1315789474,0,29
ADZ,4,3000,0.118666666667,356.0,89.0,0,4
AMP,4,3000,0.118666666667,356.0,89.0,0,4
APAM,2,3000,0.0593333333333,178.0,89.0,0,2
CBAV,4,3000,0.0836666666667,251.0,62.75,0,3
BIO,14,3000,0.275333333333,826.0,59.0,0,10
BAIN,3,3000,0.089,267.0,89.0,0,3
MDF,9,3000,0.232,696.0,77.3333333333,0,8
IBG,2,3000,0.0593333333333,178.0,89.0,0,2
LBK,12,3000,0.321,963.0,80.25,0,11
TL5,2,3000,0.0593333333333,178.0,89.0,0,2
OHL,12,3000,0.356,1068.0,89.0,0,12
GSJ,2,3000,0.0593333333333,178.0,89.0,0,2
